R	5.522686e+00	6.908866e-01	5.248742e+00	2.495002e-01	5.228345e+00	6.393616e-01	5.530128e+00	7.102953e-01	5.164221e+00	3.378677e-01	1.512094e+00	9.578144e-02	6.648720e-02	1.450342e-01	4.156724e-01	-8.900642e-02	6.690901e-01	5.000000e-02
L	5.821327e+00	7.020005e-01	5.298814e+00	2.501797e-01	6.022003e+00	7.086193e-01	5.788279e+00	7.280715e-01	5.159319e+00	3.729989e-01	2.120329e+00	9.375089e-02	6.513380e-02	1.447752e-01	4.065392e-01	-9.803772e-02	7.026237e-01	5.000000e-02
R	6.064652e+00	6.346403e-01	5.214659e+00	-3.088894e-04	5.893921e+00	3.735841e-01	6.046176e+00	7.476465e-01	5.153933e+00	4.097925e-01	4.274659e+00	9.168007e-02	6.804446e-02	1.420379e-01	4.067018e-01	-1.077175e-01	7.358724e-01	5.000000e-02
L	6.323675e+00	7.359368e-01	5.201082e+00	3.048996e-01	6.342486e+00	9.488326e-01	6.303794e+00	7.691030e-01	5.148029e+00	4.482333e-01	2.990267e+00	8.976066e-02	6.690716e-02	1.393556e-01	3.988834e-01	-1.180840e-01	7.688159e-01	5.000000e-02
R	6.574407e+00	7.668525e-01	5.154574e+00	3.621668e-01	6.621337e+00	8.361384e-01	6.561105e+00	7.925232e-01	5.141571e+00	4.883049e-01	4.669653e-01	8.791270e-02	6.570770e-02	1.364473e-01	3.913329e-01	-1.291561e-01	8.014321e-01	5.000000e-02
L	6.825061e+00	7.632753e-01	5.148383e+00	3.171237e-01	6.782143e+00	7.140359e-01	6.818081e+00	8.179882e-01	5.134523e+00	5.299897e-01	2.503861e-01	8.614781e-02	6.530346e-02	1.337192e-01	3.857827e-01	-1.409626e-01	8.336961e-01	5.000000e-02
R	7.067966e+00	7.501833e-01	5.051952e+00	2.468833e-01	7.291210e+00	6.307415e-01	7.074691e+00	8.455782e-01	5.126847e+00	5.732691e-01	3.142548e+00	8.448517e-02	6.671228e-02	1.319426e-01	3.836682e-01	-1.535225e-01	8.655882e-01	5.000000e-02
L	7.289928e+00	8.257308e-01	5.000150e+00	4.192454e-01	7.137350e+00	9.572165e-01	7.330903e+00	8.753725e-01	5.118505e+00	6.181232e-01	2.376548e+00	8.328005e-02	6.615863e-02	1.314644e-01	3.784367e-01	-1.668358e-01	8.970809e-01	5.000000e-02
R	7.583298e+00	8.387423e-01	5.130212e+00	4.186499e-01	8.083490e+00	8.196047e-01	7.586684e+00	9.074494e-01	5.109456e+00	6.645307e-01	4.692094e+00	8.178189e-02	6.625133e-02	1.291551e-01	3.745113e-01	-1.809788e-01	9.281504e-01	5.000000e-02
L	7.836205e+00	8.174782e-01	5.129933e+00	3.296133e-01	7.805334e+00	7.191261e-01	7.841995e+00	9.418861e-01	5.099659e+00	7.124693e-01	6.627161e-01	8.036668e-02	6.907668e-02	1.270332e-01	3.748021e-01	-1.959419e-01	9.587717e-01	5.000000e-02
R	8.085638e+00	8.362153e-01	5.057846e+00	3.406121e-01	8.404531e+00	8.845571e-01	8.096800e+00	9.787585e-01	5.089074e+00	7.619151e-01	2.452605e+00	7.904216e-02	7.273115e-02	1.250281e-01	3.764447e-01	-2.116966e-01	9.889161e-01	5.000000e-02
L	8.324804e+00	8.507363e-01	5.038639e+00	3.457753e-01	8.247959e+00	8.403219e-01	8.351056e+00	1.018142e+00	5.077658e+00	8.128429e-01	3.143026e-01	7.789966e-02	7.760929e-02	1.231945e-01	3.797058e-01	-2.283192e-01	1.018556e+00	5.000000e-02
